D:\vkr_folder\venv\Scripts\python.exe D:\vkr_folder\classifiers\optimize\optimize.py
[I 2023-04-16 08:15:00,342] A new study created in memory with name: Test study
[I 2023-04-16 08:15:06,109] Trial 0 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 30157, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'n_estimators': 1970, 'max_depth': 1.9002577048933749}. Best is trial 0 with value: 0.5026593445370737.
[I 2023-04-16 11:40:19,369] Trial 378 finished with value: 0.6499950219600875 and parameters: {'criterion': 'gini', 'min_samples_split': 41, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'n_estimators': 1905, 'max_depth': 1689.3152270505443}. Best is trial 378 with value: 0.6499950219600875.
�訡��: �� 㤠���� ���� ����� "13768".
[W 2023-04-16 11:41:17,784] Trial 379 failed with parameters: {'criterion': 'gini', 'min_samples_split': 988, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1909, 'max_depth': 1702.837639355428} because of the following error: KeyboardInterrupt().
Traceback (most recent call last):
  File "D:\vkr_folder\venv\lib\site-packages\optuna\study\_optimize.py", line 200, in _run_trial
    value_or_values = func(trial)
  File "D:\vkr_folder\classifiers\optimize\optimize.py", line 68, in <lambda>
    print("Best hyperparameters: {}".format(trial.params))
  File "D:\vkr_folder\classifiers\optimize\optimize.py", line 26, in objective
    max_features='sqrt')
  File "D:\vkr_folder\venv\lib\site-packages\sklearn\model_selection\_validation.py", line 515, in cross_val_score
    cv_results = cross_validate(
  File "D:\vkr_folder\venv\lib\site-packages\sklearn\model_selection\_validation.py", line 266, in cross_validate
    results = parallel(
  File "D:\vkr_folder\venv\lib\site-packages\sklearn\utils\parallel.py", line 63, in __call__
    return super().__call__(iterable_with_config)
  File "D:\vkr_folder\venv\lib\site-packages\joblib\parallel.py", line 1098, in __call__
    self.retrieve()
  File "D:\vkr_folder\venv\lib\site-packages\joblib\parallel.py", line 975, in retrieve
    self._output.extend(job.get(timeout=self.timeout))
  File "D:\vkr_folder\venv\lib\site-packages\joblib\_parallel_backends.py", line 567, in wrap_future_result
    return future.result(timeout=timeout)
  File "C:\Users\Dmitrii\AppData\Local\Programs\Python\Python310\lib\concurrent\futures\_base.py", line 441, in result
    self._condition.wait(timeout)
  File "C:\Users\Dmitrii\AppData\Local\Programs\Python\Python310\lib\threading.py", line 320, in wait
    waiter.acquire()
KeyboardInterrupt
[W 2023-04-16 11:41:17,791] Trial 379 failed with value None.
Traceback (most recent call last):
  File "D:\vkr_folder\classifiers\optimize\optimize.py", line 68, in <module>
    print("Best hyperparameters: {}".format(trial.params))
  File "D:\vkr_folder\venv\lib\site-packages\optuna\study\study.py", line 425, in optimize
    _optimize(
  File "D:\vkr_folder\venv\lib\site-packages\optuna\study\_optimize.py", line 66, in _optimize
    _optimize_sequential(
  File "D:\vkr_folder\venv\lib\site-packages\optuna\study\_optimize.py", line 163, in _optimize_sequential
    frozen_trial = _run_trial(study, func, catch)
  File "D:\vkr_folder\venv\lib\site-packages\optuna\study\_optimize.py", line 251, in _run_trial
    raise func_err
  File "D:\vkr_folder\venv\lib\site-packages\optuna\study\_optimize.py", line 200, in _run_trial
    value_or_values = func(trial)
  File "D:\vkr_folder\classifiers\optimize\optimize.py", line 68, in <lambda>
    print("Best hyperparameters: {}".format(trial.params))
  File "D:\vkr_folder\classifiers\optimize\optimize.py", line 26, in objective
    max_features='sqrt')
  File "D:\vkr_folder\venv\lib\site-packages\sklearn\model_selection\_validation.py", line 515, in cross_val_score
    cv_results = cross_validate(
  File "D:\vkr_folder\venv\lib\site-packages\sklearn\model_selection\_validation.py", line 266, in cross_validate
    results = parallel(
  File "D:\vkr_folder\venv\lib\site-packages\sklearn\utils\parallel.py", line 63, in __call__
    return super().__call__(iterable_with_config)
  File "D:\vkr_folder\venv\lib\site-packages\joblib\parallel.py", line 1098, in __call__
    self.retrieve()
  File "D:\vkr_folder\venv\lib\site-packages\joblib\parallel.py", line 975, in retrieve
    self._output.extend(job.get(timeout=self.timeout))
  File "D:\vkr_folder\venv\lib\site-packages\joblib\_parallel_backends.py", line 567, in wrap_future_result
    return future.result(timeout=timeout)
  File "C:\Users\Dmitrii\AppData\Local\Programs\Python\Python310\lib\concurrent\futures\_base.py", line 441, in result
    self._condition.wait(timeout)
  File "C:\Users\Dmitrii\AppData\Local\Programs\Python\Python310\lib\threading.py", line 320, in wait
    waiter.acquire()
KeyboardInterrupt

Process finished with exit code -1073741510 (0xC000013A: interrupted by Ctrl+C)
